food_id,description,moisture_pct,energy_kcal,energy_kj,protein_g,lipids_g,cholesterol_mg,carbohydrate_g,fiber_g,ash_g,calcium_mg,magnesium_mg,manganese_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,re_mcg,rae_mcg,thiamine_mg,riboflavin_mg,pyridoxine_mg,niacin_mg,vitamin_c_mg
A001,Amendoim cru,6.5,567,2373,25.8,49.2,0,16.1,8.5,2.4,92,168,1.934,376,4.58,18,705,1.144,3.27,0,0,0,0.64,0.135,0.348,12.066,0
A002,"Amendoim, torrado",2.0,589,2465,23.7,49.7,0,21.3,9.0,3.3,54,176,1.659,358,2.26,6,658,0.671,3.00,0,0,0,0.11,0.10,0.256,13.525,0
A003,Castanha de caju crua,5.2,553,2314,18.2,43.8,0,30.2,3.3,2.6,37,292,1.655,593,6.68,12,660,2.195,5.78,0,0,0,0.42,0.06,0.417,1.062,0.5
A004,"Castanha de caju, torrada",2.2,581,2431,15.3,47.8,0,32.7,3.0,2.0,43,260,0.826,490,5.00,16,565,2.220,5.35,0,0,0,0.20,0.15,0.256,1.481,0
A005,Gergelim,4.7,573,2397,17.7,49.7,0,23.4,11.8,4.5,975,351,2.460,629,14.55,11,468,4.082,7.75,0,0,0,0.79,0.25,0.790,4.515,0
A006,Manteiga de amendoim,1.8,588,2460,25.1,49.9,0,20.0,6.0,3.2,43,154,1.466,335,1.87,17,558,0.420,2.51,0,0,0,0.11,0.19,0.441,13.110,0
A007,Soja fervida,63.0,173,724,16.6,9.0,0,9.9,6.0,1.5,102,86,0.824,245,5.14,1,515,0.407,1.15,0,0,0,0.16,0.29,0.234,0.399,1.7
A008,Carne de vaca,75.0,119,498,21.3,3.5,55,0,0,1.2,7,24,0.013,211,2.50,72,362,0.086,4.46,0,0,0,0.05,0.18,0.380,5.840,0
A009,"Carne de vaca, gorda",72.0,136,569,20.3,5.4,59,0,0,1.3,8,23,0.013,200,2.38,68,343,0.082,4.24,0,0,0,0.05,0.17,0.361,5.550,0
A010,"Carne de vaca, muito gorda",54.0,269,1126,17.4,21.8,73,0,0,1.8,11,20,0.011,172,2.04,59,295,0.070,3.64,0,0,0,0.04,0.15,0.310,4.760,0
A011,"Carne de vaca, moída",74.0,143,598,19.4,7.4,62,0,0,1.2,9,22,0.012,191,2.27,65,328,0.078,4.05,0,0,0,0.04,0.16,0.345,5.310,0
A012,"Bife, grelhado",59.0,252,1054,27.4,15.5,78,0,0,1.1,6,26,0.012,222,2.93,59,406,0.091,5.24,0,0,0,0.08,0.24,0.441,7.360,0
A013,Figado de vaca frito,56.0,191,799,26.5,6.6,389,5.3,0,1.6,7,20,0.347,497,6.54,110,380,12.040,5.34,9761,30604,30604,0.26,3.42,1.080,17.525,27.4
A014,Lingua de vaca cozida,68.0,224,937,16.4,16.8,91,3.7,0,1.1,6,14,0.017,113,2.87,61,164,0.134,3.47,0,0,0,0.02,0.28,0.130,3.870,3.2
A015,Rins de vaca cozidos,69.0,158,661,27.3,4.7,387,0.9,0,1.1,16,17,0.185,289,7.39,182,262,0.498,2.84,198,663,663,0.42,3.88,0.430,9.040,11.4
A016,"Coração de vaca, cozido",63.0,180,753,28.5,6.4,212,0.1,0,1.0,7,23,0.062,257,5.96,71,178,0.453,2.76,0,0,0,0.21,1.03,0.260,4.050,2.0
A017,Carne de cabrito,75.2,109,456,20.6,2.3,57,0,0,1.9,13,27,0.030,201,3.73,82,385,0.183,4.89,0,0,0,0.15,0.46,0.000,0.000,0
A018,Carne de porco,72.0,147,615,19.8,7.1,60,0,0,1.1,10,26,0.015,221,1.10,58,423,0.073,2.39,2,7,7,0.87,0.22,0.464,5.824,0.7
A019,"Carne de porco, gorda",42.0,407,1703,11.9,40.8,80,0,0,0.5,8,11,0.006,110,0.82,32,150,0.037,1.07,7,23,23,0.40,0.10,0.210,2.640,0.3
A020,"Toucinho, cru",8.0,812,3398,2.9,85.0,95,0.4,0,0.7,11,5,0.005,65,0.62,76,86,0.028,0.64,7,24,24,0.14,0.06,0.050,1.050,0
A021,"Toucinho, frito",18.0,670,2804,8.5,70.0,85,0,0,3.5,11,23,0.009,272,1.44,1310,565,0.138,2.45,0,0,0,0.53,0.22,0.240,5.070,0
A022,Linguiça de porco frita,38.0,339,1418,19.4,28.3,78,0.5,0,3.8,11,18,0.013,155,1.44,1020,248,0.113,2.29,0,0,0,0.43,0.18,0.200,4.230,0.3
A023,Carne de frango,74.0,119,498,21.4,3.1,58,0,0,1.5,15,27,0.020,173,1.26,77,229,0.063,1.54,16,49,49,0.07,0.12,0.470,7.790,1.4
A024,"Fígado de frango, frito",57.0,172,720,24.4,6.9,479,1.0,0,1.7,12,22,0.382,405,11.63,71,230,0.496,4.64,3744,11245,11245,0.18,1.77,0.800,9.390,17.9
A025,"Moela de frango, cozida",68.0,154,644,26.4,4.6,185,0.7,0,1.3,14,19,0.050,158,3.25,66,160,0.289,4.41,19,56,56,0.03,0.21,0.310,3.970,3.5
A026,Galinha inteira,64.0,215,900,18.6,15.8,75,0,0,0.6,11,20,0.017,147,1.20,70,194,0.057,1.47,47,157,157,0.05,0.10,0.400,6.410,1.8
A027,"Galinha inteira, sem pele",69.0,172,720,20.8,9.7,76,0,0,0.5,13,25,0.020,172,1.49,81,229,0.066,1.79,26,76,76,0.06,0.15,0.490,7.760,2.2
A028,"Coxa de frango, sem pele",74.0,119,498,20.1,3.5,81,0,0,1.4,12,25,0.020,179,1.34,86,240,0.066,2.10,12,36,36,0.09,0.23,0.330,5.370,0
A029,"Sobrecoxa de frango, sem pele",74.0,119,498,19.6,3.8,84,0,0,1.6,11,23,0.018,165,1.33,87,222,0.070,2.45,21,64,64,0.08,0.21,0.310,5.13,0
A030,"Peito de frango, sem pele",75.0,110,460,23.1,1.2,58,0,0,1.7,15,29,0.020,228,1.04,63,256,0.051,0.90,8,21,21,0.07,0.10,0.600,11.680,1.3
A031,Pato inteiro,44.0,337,1410,11.5,32.9,77,0,0,0.6,11,16,0.015,123,2.70,59,204,0.227,1.58,53,180,180,0.13,0.22,0.220,3.520,0
A032,Ganso inteiro,48.0,305,1276,16.4,25.2,80,0,0,1.4,14,22,0.017,311,2.87,70,420,0.264,2.45,21,69,69,0.10,0.33,0.410,4.100,0
A033,Peru inteiro,70.0,135,565,21.9,4.3,60,0,0,1.8,18,27,0.017,198,1.43,64,288,0.065,2.02,0,0,0,0.05,0.13,0.460,5.790,0
A034,Codorniz inteira,69.0,162,678,19.6,6.8,70,0,0,3.6,13,22,0.018,307,4.43,51,237,0.598,2.70,44,150,150,0.24,0.26,0.520,7.200,6.8
A035,Pombo bravo inteiro,72.0,142,594,17.5,7.5,0,0,0,1.0,46,36,0.019,230,5.50,51,319,0.480,3.00,0,0,0,0.30,0.30,0.600,6.800,10.0
A036,Ovo de galinha inteiro cru,76.0,143,598,12.6,9.5,372,0.7,0,1.2,56,12,0.028,198,1.75,142,138,0.072,1.29,160,520,160,0.04,0.46,0.120,0.070,0
A037,"Ovo de galinha, clara crua",88.0,48,201,10.9,0.2,0,0.7,0,0.2,7,11,0.004,15,0.08,166,163,0.023,0.03,0,0,0,0.00,0.44,0.000,0.100,0
A038,"Ovo de galinha, gema crua",51.0,322,1347,15.9,26.5,1085,3.6,0,3.0,147,15,0.055,569,5.87,48,109,0.077,3.11,381,1442,381,0.18,0.52,0.350,0.030,0
A039,"Ovo de galinha, cozido",75.0,155,649,12.6,10.6,373,1.1,0,0.7,50,10,0.026,172,1.19,124,126,0.013,1.05,140,460,140,0.07,0.51,0.121,0.036,0
A040,"Ovo de galinha, frito",69.0,196,820,13.6,14.8,457,0.8,0,1.8,62,13,0.034,201,2.00,207,152,0.080,1.43,162,581,162,0.04,0.49,0.143,0.070,0
A041,Ovo de pata cru,70.0,185,774,12.8,13.8,884,1.5,0,1.9,64,17,0.030,220,3.85,146,222,0.062,1.41,194,674,194,0.16,0.40,0.250,0.200,0
A042,Bacalhau seco cru,48.0,290,1213,62.8,2.4,152,0,0,21.8,136,109,0.040,890,2.50,7027,1458,0.350,1.70,30,99,99,0.18,0.16,0.300,5.800,0
A043,Camarão de água doce cru,76.0,106,443,20.3,1.7,152,0.9,0,1.1,70,37,0.120,205,1.77,148,220,0.264,1.34,0,0,0,0.03,0.04,0.028,3.627,2.4
A044,"Camarão de água doce, cozido",73.0,119,498,22.8,2.0,170,1.0,0,1.2,78,42,0.135,230,1.99,166,247,0.296,1.50,0,0,0,0.03,0.04,0.031,4.067,2.7
A045,Camarão do mar cru,78.0,85,356,18.1,0.9,125,0,0,2.0,80,39,0.047,182,1.59,566,145,0.435,1.21,0,0,0,0.02,0.02,0.047,2.852,0
A046,"Camarão do mar, cozido",76.0,99,414,20.9,1.1,152,1.1,0,0.9,70,34,0.040,205,2.41,146,220,0.264,1.11,0,0,0,0.03,0.03,0.085,2.850,0
A047,Caranguejo cru,79.0,87,364,18.1,1.1,78,0,0,1.8,89,34,0.180,229,1.81,370,270,0.844,3.81,0,0,0,0.14,0.09,0.150,2.500,3.8
A048,"Caranguejo, cozido",73.0,102,427,20.1,1.3,100,1.1,0,4.5,210,48,0.200,175,0.74,293,240,0.760,4.65,0,0,0,0.09,0.09,0.180,2.930,7.6
A049,Lagosta crua,77.0,89,372,18.8,0.9,95,0.5,0,2.8,63,35,0.110,192,0.40,296,230,1.510,3.53,0,0,0,0.01,0.11,0.100,2.000,0
A050,"Lagosta, cozida",76.0,98,410,20.5,1.3,72,0.4,0,1.8,66,35,0.110,185,0.47,413,299,1.940,2.47,50,157,157,0.01,0.06,0.110,1.460,0
A051,Lula crua,78.0,92,385,15.6,1.4,233,3.1,0,1.9,32,33,0.040,221,0.68,44,246,1.893,1.53,10,33,33,0.02,0.41,0.056,2.175,4.6
A052,"Lula, frita",64.0,175,732,17.9,6.4,221,7.8,0,3.9,33,34,0.040,213,0.86,260,246,1.780,1.48,10,33,33,0.05,0.39,0.056,2.058,5.0
A053,Mexilhão cru,81.0,86,360,11.9,2.2,28,3.7,0,1.2,26,34,3.400,197,5.80,286,268,0.090,1.60,67,228,228,0.16,0.25,0.050,1.600,8.0
A054,"Mexilhão, cozido",65.0,172,720,23.8,4.5,56,7.4,0,2.3,28,37,6.800,243,6.72,369,268,0.160,2.67,48,160,160,0.24,0.36,0.100,2.550,13.6
A055,Polvo cru,80.0,82,343,14.9,1.0,48,2.2,0,1.9,53,30,0.025,186,5.30,230,350,0.435,1.68,45,149,149,0.03,0.04,0.360,2.100,5.0
A056,Ameijoa crua,82.0,74,310,12.8,1.0,34,2.6,0,1.6,46,15,0.650,169,13.98,56,314,0.344,1.44,90,299,299,0.13,0.21,0.065,1.770,13.3
A057,"Ameijoa, cozida",64.0,148,619,25.6,2.0,67,5.1,0,3.3,92,30,1.300,338,27.96,112,628,0.688,2.88,180,598,598,0.26,0.42,0.130,3.540,26.6
A058,Ostra crua,85.0,69,289,7.1,2.5,53,3.9,0,1.5,94,47,0.800,162,5.78,106,168,4.452,90.81,60,223,223,0.15,0.19,0.040,1.550,8.0
A059,Peixe espada cru,76.0,109,456,17.8,3.6,39,0,0,2.6,28,29,0.015,278,0.88,102,384,0.034,0.64,26,87,87,0.24,0.07,0.290,10.084,1.0
A060,"Peixe espada, grelhado",59.0,172,720,28.0,6.0,57,0,0,7.0,50,53,0.020,415,1.29,122,522,0.055,1.25,54,180,180,0.04,0.10,0.320,11.759,3.2
A061,Atum em lata em óleo,60.0,198,828,29.1,8.2,15,0,0,2.7,11,34,0.019,268,1.69,354,333,0.102,0.77,21,64,64,0.04,0.14,0.430,13.290,0
A062,Sardinha em lata em óleo,60.0,208,870,24.6,11.5,142,0,0,3.9,382,39,0.100,490,2.92,505,397,0.188,1.31,32,108,108,0.03,0.23,0.165,5.245,0
A063,Arenque salgado cru,67.0,218,912,19.1,15.1,0,0,0,13.8,90,40,0.020,280,1.50,6231,157,0.130,1.00,30,99,99,0.09,0.23,0.400,3.200,0
A064,Tilápia crua,78.0,96,402,20.1,1.7,50,0,0,1.2,14,34,0.050,204,0.63,56,380,0.067,0.45,11,37,37,0.04,0.07,0.160,3.900,0
A065,"Tilápia, grelhada",60.0,128,536,26.2,2.2,57,0,0,11.6,18,44,0.065,266,0.82,73,495,0.087,0.59,14,48,48,0.05,0.09,0.209,5.085,0
A066,Carpa crua,76.0,127,531,17.8,5.6,66,0,0,1.6,41,29,0.040,415,1.24,49,333,0.057,1.48,30,99,99,0.12,0.05,0.190,1.540,1.6
A067,Pescada branca crua,81.0,78,326,17.8,0.6,60,0,0,0.6,25,27,0.010,221,0.31,72,279,0.023,0.53,0,0,0,0.07,0.03,0.230,2.170,1.4
A068,"Pescada branca, grelhada",65.0,116,485,25.2,1.5,84,0,0,8.3,50,50,0.015,279,0.47,370,344,0.037,0.77,0,0,0,0.06,0.06,0.291,3.420,2.3
A069,Salmão cru,68.0,142,594,19.8,6.3,55,0,0,1.9,12,29,0.016,200,0.80,44,490,0.250,0.64,40,136,136,0.23,0.38,0.818,8.042,3.9
A070,"Salmão, cozido",62.0,184,770,25.4,8.1,74,0,0,4.5,15,37,0.021,255,1.03,56,628,0.320,0.82,51,173,173,0.30,0.49,1.048,10.315,5.0
A071,Truta crua,71.0,148,619,20.5,6.6,58,0,0,1.9,67,31,0.920,271,2.10,29,481,0.187,0.98,15,63,63,0.23,0.11,0.240,5.384,2.4
A072,Leite integral,88.0,61,255,3.2,3.3,11,4.8,0,0.7,113,13,0.004,93,0.05,49,152,0.010,0.38,31,98,98,0.04,0.18,0.042,0.084,0.9
A073,Leite desnatado,91.0,34,142,3.4,0.1,2,4.9,0,0.6,122,11,0.003,101,0.07,52,166,0.010,0.42,1,5,5,0.04,0.18,0.046,0.089,0.9
A074,Leite condensado,27.0,321,1343,7.9,8.7,34,54.4,0,1.8,284,26,0.014,253,0.24,127,371,0.027,0.94,78,260,260,0.09,0.42,0.050,0.210,2.3
A075,"Leite, em pó integral",3.0,496,2076,26.3,26.7,97,38.4,0,6.0,909,119,0.008,763,0.47,371,1330,0.030,3.00,228,780,780,0.28,1.38,0.310,0.710,8.0
A076,"Leite, em pó desnatado",4.0,362,1515,36.2,0.8,18,52.0,0,7.0,1231,159,0.007,968,0.39,535,1794,0.060,4.21,10,33,33,0.42,1.74,0.350,0.970,7.2
A077,Iogurte natural integral,88.0,61,255,3.5,3.3,13,4.7,0,0.5,121,12,0.002,95,0.05,46,155,0.009,0.59,27,99,99,0.03,0.14,0.032,0.075,0.5
A078,Iogurte natural desnatado,85.0,56,234,5.7,0.2,2,7.7,0,0.4,199,19,0.005,157,0.08,77,255,0.015,0.97,2,6,6,0.05,0.23,0.053,0.123,0.8
A079,Queijo prato,41.0,360,1506,25.6,28.3,89,1.6,0,3.5,579,38,0.019,490,0.43,690,100,0.023,3.00,240,800,800,0.02,0.35,0.070,0.100,0
A080,Queijo tipo gouda,41.0,356,1490,24.9,27.4,114,2.2,0,4.5,700,29,0.011,546,0.24,819,121,0.032,3.90,165,573,573,0.04,0.33,0.081,0.062,0
A081,Queijo mozarela,50.0,280,1172,19.4,21.6,79,2.2,0,3.8,505,20,0.030,354,0.44,373,95,0.011,2.92,179,612,612,0.03,0.28,0.037,0.104,0
A082,Queijo parmesão,30.0,392,1640,35.8,25.8,68,3.2,0,5.2,1184,44,0.020,694,0.82,1602,92,0.032,2.75,207,684,684,0.04,0.33,0.090,0.271,0
A083,Requeijão cremoso,64.0,220,920,8.7,18.4,0,4.5,0,4.4,80,6,0.003,120,0.12,280,65,0.013,0.50,156,520,520,0.01,0.12,0.030,0.050,0
A084,Manteiga com sal,16.0,717,3000,0.9,81.1,219,0.1,0,2.0,24,2,0.000,24,0.02,714,24,0.000,0.09,684,2499,684,0.01,0.03,0.003,0.042,0
A085,Manteiga sem sal,16.0,717,3000,0.9,81.1,219,0.1,0,2.0,24,2,0.000,24,0.02,11,24,0.000,0.09,684,2499,684,0.01,0.03,0.003,0.042,0
A086,Margarina com sal,16.0,719,3009,0.2,80.5,0,0.9,0,2.4,20,3,0.000,17,0.04,943,42,0.000,0.03,800,800,800,0.00,0.00,0.000,0.000,0
A087,Margarina vegetal sem sal,16.0,720,3013,0.0,80.7,0,0.9,0,2.4,20,3,0.000,17,0.04,2,42,0.000,0.03,800,800,800,0.00,0.00,0.000,0.000,0
A088,Feijão manteiga cozido,69.0,123,515,8.9,0.5,0,20.9,5.4,0.7,55,63,0.422,156,2.43,2,391,0.234,1.12,0,0,0,0.15,0.07,0.120,0.421,1.2
A089,Feijão nhemba cozido,70.0,116,485,7.8,0.5,0,20.8,4.8,0.9,27,53,0.550,156,2.09,7,278,0.287,1.00,1,2,2,0.28,0.06,0.100,0.851,0.8
A090,Feijão vulgar cozido,67.0,127,531,8.7,0.5,0,23.0,9.0,0.8,35,70,0.448,142,2.09,2,355,0.217,1.03,0,0,0,0.21,0.06,0.120,0.505,1.2
A091,Grão de bico cozido,60.0,164,686,8.9,2.6,0,27.4,7.6,1.1,49,48,1.030,168,2.89,7,291,0.352,1.53,3,7,7,0.12,0.06,0.139,0.526,1.3
A092,Ervilha seca cozida,69.0,118,494,8.3,0.4,0,21.1,8.3,1.2,14,36,0.520,99,1.29,2,362,0.181,1.00,2,4,4,0.19,0.06,0.048,0.890,0.4
A093,Lentilhas cozidas,70.0,116,485,9.0,0.4,0,20.1,7.9,0.5,19,36,0.494,180,3.33,2,369,0.251,1.27,1,2,2,0.17,0.07,0.178,1.060,1.5
A094,"Batata doce, crua",77.0,86,360,1.6,0.1,0,20.1,3.0,1.2,30,25,0.258,47,0.61,55,337,0.151,0.30,961,1043,709,0.08,0.06,0.209,0.557,2.4
A095,"Batata doce, cozida",76.0,90,377,1.4,0.2,0,20.7,2.5,1.7,27,18,0.266,32,0.72,27,230,0.094,0.20,709,961,709,0.11,0.05,0.143,1.130,12.8
